         ,Avg Profits        ,Avg Net Points      ,Standard Deviation ,Minimum Net Points  ,Maximum Net Points ,Total Window Sum Profits ,Total Window Sum Net Points
08:30:00 ,2256.9444444444443 ,0.9027777777777778  ,1.8229634778012753 ,-3.4623015873015874 ,1.0337301587301588 ,                853125.0 ,                     341.25
09:00:00 ,2048.8845144356956 ,0.8195538057742782  ,1.8058557033781404 ,-3.370734908136483  ,0.9986876640419947 ,                780625.0 ,                     312.25
09:30:00 ,2150.3957783641163 ,0.8601583113456465  ,1.720794954814622  ,-3.046833773087071  ,1.0                ,                815000.0 ,                     326.0
10:00:00 ,1939.484126984127  ,0.7757936507936508  ,1.716564082704522  ,-2.9814814814814814 ,0.9867724867724867 ,                733125.0 ,                     293.25
10:30:00 , 946.6180371352785 ,0.3786472148541114  ,1.7454674000046597 ,-2.980106100795756  ,0.993368700265252  ,                356875.0 ,                     142.75
11:00:00 , 321.6666666666667 ,0.12866666666666668 ,1.7204848178711232 ,-2.8193333333333332 ,0.9913333333333333 ,                120625.0 ,                      48.25
11:30:00 ,1027.2606382978724 ,0.4109042553191489  ,1.6749064473030857 ,-2.716090425531915  ,0.9288563829787234 ,                386250.0 ,                     154.5
12:00:00 , 738.1756756756756 ,0.29527027027027025 ,1.7018179848490755 ,-2.766216216216216  ,0.9878378378378379 ,                273125.0 ,                     109.25
12:30:00 ,1649.116847826087  ,0.6596467391304348  ,1.6221656918586922 ,-2.557065217391304  ,0.9870923913043478 ,                606875.0 ,                     242.75
13:00:00 , 883.1521739130435 ,0.3532608695652174  ,1.6729092154357634 ,-2.8036684782608696 ,0.9735054347826086 ,                325000.0 ,                     130.0
13:30:00 ,1910.6657608695652 ,0.764266304347826   ,1.6458844694033004 ,-2.724184782608696  ,1.0040760869565217 ,                703125.0 ,                     281.25
14:00:00 , 965.4471544715448 ,0.3861788617886179  ,1.7163648422448323 ,-2.9220867208672088 ,1.0176151761517616 ,                356250.0 ,                     142.5
14:30:00 ,1384.6685082872928 ,0.5538674033149171  ,1.757105872315497  ,-3.212707182320442  ,0.9993093922651933 ,                501250.0 ,                     200.5
15:00:00 , 481.8840579710145 ,0.1927536231884058  ,1.4585001374579807 ,-1.6507246376811595 ,0.8507246376811595 ,                166250.0 ,                      66.5
