,Avg Profits,Avg Net Points,Standard Deviation,Minimum Net Points,Maximum Net Points,Total Window Sum Profits,Total Window Sum Net Points
08:30:00,8636.363636363636,3.4545454545454546,1.6240528434544126,-3.3181818181818183,1.0568181818181819,190000.0,76.0
09:00:00,2755.681818181818,1.1022727272727273,1.8922037292243667,-3.9886363636363638,1.0,60625.0,24.25
09:30:00,6278.409090909091,2.5113636363636362,1.583437863336124,-3.0795454545454546,1.0,138125.0,55.25
10:00:00,1647.7272727272727,0.6590909090909091,1.7090800754798954,-2.9545454545454546,1.0227272727272727,36250.0,14.5
10:30:00,-511.3636363636364,-0.20454545454545456,1.645137972587573,-2.715909090909091,1.0,-11250.0,-4.5
11:00:00,-2272.7272727272725,-0.9090909090909091,1.848746753597907,-2.9886363636363638,1.0,-50000.0,-20.0
11:30:00,-3181.818181818182,-1.2727272727272727,1.8054862863886094,-2.8636363636363638,1.0,-70000.0,-28.0
12:00:00,-2386.3636363636365,-0.9545454545454546,1.9017601576517507,-2.909090909090909,1.0454545454545454,-52500.0,-21.0
12:30:00,-1363.6363636363637,-0.5454545454545454,1.784637043058648,-2.8068181818181817,0.9772727272727273,-30000.0,-12.0
13:00:00,3267.0454545454545,1.3068181818181819,1.5374793163420764,-2.8636363636363638,1.0,71875.0,28.75
13:30:00,1278.409090909091,0.5113636363636364,1.526111621177332,-2.602272727272727,1.0113636363636365,28125.0,11.25
14:00:00,3551.1363636363635,1.4204545454545454,1.6395577164150688,-3.090909090909091,1.1022727272727273,78125.0,31.25
14:30:00,2102.2727272727275,0.8409090909090909,1.7823544754192493,-3.125,1.0113636363636365,46250.0,18.5
15:00:00,2982.9545454545455,1.1931818181818181,1.1705029977577226,-0.9318181818181818,0.8522727272727273,65625.0,26.25
