,Avg Profits,Avg Net Points,Standard Deviation,Minimum Net Points,Maximum Net Points,Total Window Sum Profits,Total Window Sum Net Points
08:30:00,-1704.5454545454545,-0.6818181818181818,1.9854992230955784,-3.5454545454545454,1.0,-37500.0,-15.0
09:00:00,5539.772727272727,2.215909090909091,1.5886689304192778,-2.8636363636363638,1.0340909090909092,121875.0,48.75
09:30:00,5625.0,2.25,1.7103549489854748,-3.352272727272727,1.0113636363636365,123750.0,49.5
10:00:00,2926.1363636363635,1.1704545454545454,1.9518698425416368,-3.6363636363636362,1.0909090909090908,64375.0,25.75
10:30:00,965.9090909090909,0.38636363636363635,1.976958798136819,-3.852272727272727,1.0,21250.0,8.5
11:00:00,-7946.428571428572,-3.1785714285714284,2.139033473891679,-3.9404761904761907,1.0,-166875.0,-66.75
11:30:00,4910.714285714285,1.9642857142857142,1.629505320277112,-3.0476190476190474,1.0595238095238095,103125.0,41.25
12:00:00,2142.8571428571427,0.8571428571428571,1.8235913323685096,-3.3095238095238093,1.0,45000.0,18.0
12:30:00,-2053.5714285714284,-0.8214285714285714,1.969633464132491,-3.2857142857142856,1.0119047619047619,-43125.0,-17.25
13:00:00,684.5238095238095,0.27380952380952384,1.80492053767925,-3.5238095238095237,1.0,14375.0,5.75
13:30:00,952.3809523809524,0.38095238095238093,1.9083797026423195,-3.5238095238095237,1.0,20000.0,8.0
14:00:00,3958.3333333333335,1.5833333333333333,1.7163334517999291,-3.2142857142857144,1.0357142857142858,83125.0,33.25
14:30:00,3541.6666666666665,1.4166666666666667,1.8721662880052947,-3.761904761904762,1.0357142857142858,74375.0,29.75
15:00:00,1577.3809523809523,0.6309523809523809,1.5841632773263756,-2.011904761904762,1.0,33125.0,13.25
