exit_time,col2,net_pts,col4,col5
2023-01-03 11:52:27.079,0.415,1.0,0.0,5
2023-01-03 11:52:46.382,0.72,1.0,0.0,7
2023-01-03 11:53:33.443,0.447,1.0,-0.5,58
2023-01-03 11:55:19.116,0.665,1.0,-1.5,64
2023-01-03 11:56:52.175,0.551,1.0,0.0,0
2023-01-03 12:03:48.218,0.587,1.0,-0.5,15
2023-01-03 12:07:05.509,0.684,1.0,0.0,13
2023-01-03 12:07:29.052,0.404,1.0,-0.25,17
2023-01-03 12:07:46.096,0.667,1.0,-2.5,192
2023-01-03 12:11:05.057,0.687,1.25,0.0,0
2023-01-03 12:11:27.068,0.401,1.0,0.0,22
2023-01-03 12:11:58.015,0.531,-4.0,0.0,118
2023-01-03 12:20:55.628,0.516,1.0,0.0,69
2023-01-03 12:25:39.012,0.445,1.0,-0.75,19
2023-01-03 12:26:49.216,0.443,1.0,-1.5,13
2023-01-03 12:27:48.750,0.445,1.0,-2.5,113
2023-01-03 12:31:55.419,0.495,1.0,-1.25,132
2023-01-03 12:35:53.004,0.522,1.0,-0.5,15
2023-01-03 12:40:02.256,0.747,1.0,0.0,6
2023-01-03 12:41:15.059,0.638,1.0,-0.5,26
2023-01-03 12:42:32.549,0.523,1.0,0.0,16
2023-01-03 12:46:56.041,0.8,1.0,-0.5,22
2023-01-03 12:49:16.848,0.612,1.0,-0.75,66
2023-01-03 12:50:59.026,0.504,1.0,-2.75,101
2023-01-03 12:54:12.008,0.505,1.0,-0.75,11
2023-01-03 12:54:23.346,0.462,1.0,-3.25,84
2023-01-03 12:55:55.058,0.439,1.0,-2.75,294
2023-01-03 13:02:21.292,0.504,1.0,-0.25,15
2023-01-03 13:02:45.441,0.568,1.0,-2.5,148
2023-01-03 13:06:39.036,0.634,1.0,-1.0,23
2023-01-03 13:08:25.042,0.619,1.0,0.0,3
2023-01-03 13:08:46.506,0.488,-4.0,0.0,202
2023-01-03 13:12:17.355,0.573,1.0,-0.25,5
2023-01-03 13:12:45.171,0.445,1.0,0.0,3
2023-01-03 13:13:04.195,0.445,1.0,-0.5,7
2023-01-03 13:14:40.943,0.451,1.0,-0.25,21
2023-01-03 13:15:06.570,0.471,1.0,-0.25,3
2023-01-03 13:15:17.025,0.611,1.0,-0.25,19
2023-01-03 13:17:09.215,0.436,1.0,0.0,20
2023-01-03 13:18:33.055,0.409,-4.0,0.0,319
2023-01-03 13:32:05.404,0.417,-4.0,0.0,71
2023-01-03 13:42:08.306,0.435,1.0,-0.25,61
2023-01-03 13:43:47.026,0.57,1.0,-2.5,58
2023-01-03 13:45:48.009,0.736,1.0,-0.75,8
2023-01-03 13:45:57.049,0.489,1.0,0.0,0
2023-01-03 13:46:07.013,0.456,1.0,0.0,1
2023-01-03 13:46:45.204,0.671,-4.0,0.0,26
2023-01-03 13:47:52.277,0.436,1.0,-0.25,4
2023-01-03 13:50:35.068,0.447,1.0,0.0,2
2023-01-03 13:50:53.277,0.431,-4.0,0.0,96
2023-01-03 13:53:06.165,0.404,1.0,-1.0,28
2023-01-03 13:55:14.009,0.488,1.0,-0.75,7
2023-01-03 13:56:22.054,0.441,-4.0,0.0,44
2023-01-03 14:01:52.031,0.474,1.0,0.0,7
2023-01-03 14:02:13.125,0.562,-4.0,0.0,40
2023-01-03 14:03:13.015,0.487,1.0,0.0,4
2023-01-03 14:05:36.129,0.448,-4.0,0.0,118
2023-01-03 14:07:55.724,0.467,1.0,-0.75,23
2023-01-03 14:09:01.022,0.454,1.0,-2.0,109
2023-01-03 14:11:50.024,0.703,1.0,-1.5,26
2023-01-03 14:13:03.187,0.561,1.0,-0.75,12
2023-01-03 14:13:24.434,0.425,1.0,-0.5,46
2023-01-03 14:14:28.499,0.401,1.0,0.0,2
2023-01-03 14:20:01.080,0.464,-4.0,0.0,22
2023-01-03 14:21:23.009,0.521,1.0,0.0,3
2023-01-03 14:23:18.135,0.451,1.0,-2.0,145
2023-01-03 14:26:39.061,0.409,1.0,-2.25,181
2023-01-03 14:33:25.445,0.471,1.0,-1.75,121
2023-01-03 14:37:24.204,0.614,1.0,-2.25,110
2023-01-03 14:39:29.217,0.551,1.0,-0.75,55
2023-01-03 14:44:01.001,0.575,1.0,-0.25,10
2023-01-03 14:44:57.395,0.426,1.0,-2.5,101
2023-01-03 14:48:07.092,0.464,1.0,0.0,2
2023-01-03 14:50:07.020,0.439,-4.0,0.0,22
2023-01-03 14:50:46.207,0.447,1.0,-0.75,6
2023-01-03 14:51:04.190,0.472,1.0,-0.75,19
2023-01-03 14:52:24.026,0.604,1.0,-1.5,100
2023-01-03 14:57:15.018,0.414,1.0,-0.5,32
2023-01-03 14:59:17.017,0.756,1.0,-0.25,17
2023-01-03 15:00:07.232,0.599,-4.0,0.0,62
2023-01-03 15:02:13.086,0.494,1.0,-1.75,272
2023-01-03 15:08:28.817,0.545,1.0,-1.25,201
2023-01-04 08:30:02.000,0.539,-4.0,0.0,60
2023-01-04 08:31:22.000,0.432,-4.0,0.0,19
2023-01-04 08:34:37.013,0.474,1.0,0.0,1
2023-01-04 08:34:45.123,0.431,1.0,-0.25,1
2023-01-04 08:35:19.011,0.507,1.0,-1.5,15
2023-01-04 08:38:48.047,0.415,1.0,0.0,6
2023-01-04 08:39:03.002,0.432,1.0,-1.25,20
2023-01-04 08:41:02.025,0.525,1.0,-2.25,41
2023-01-04 08:45:33.082,0.412,-4.0,0.0,43
2023-01-04 08:47:23.009,0.54,1.0,0.0,1
2023-01-04 08:48:26.083,0.81,1.0,0.0,3
2023-01-04 08:51:40.059,0.479,1.0,-0.75,5
2023-01-04 08:53:19.319,0.466,1.0,-2.5,56
2023-01-04 08:59:44.067,0.508,1.0,-0.5,5
2023-01-04 09:00:42.017,0.542,-4.0,0.0,5
2023-01-04 09:00:52.007,0.834,1.0,0.0,0
2023-01-04 09:01:20.004,0.656,1.0,0.0,0
2023-01-04 09:01:26.041,0.628,1.0,0.0,3
2023-01-04 09:02:40.008,0.436,1.0,0.0,0
2023-01-04 09:03:12.018,0.476,-4.0,0.0,20
2023-01-04 09:04:10.031,0.573,-4.0,0.0,24
2023-01-04 09:04:42.159,0.623,-4.0,0.0,8
2023-01-04 09:05:28.004,0.558,1.0,0.0,1
2023-01-04 09:07:24.165,0.48,1.0,0.0,1
2023-01-04 09:07:55.042,0.645,-4.0,0.0,77
2023-01-04 09:09:29.073,0.483,1.0,-0.75,2
2023-01-04 09:11:14.012,0.522,-4.0,0.0,32
2023-01-04 09:13:57.101,0.441,1.0,-1.25,27
2023-01-04 09:14:37.058,0.556,1.0,-2.0,20
2023-01-04 09:15:00.007,0.444,1.0,-2.75,40
2023-01-04 09:25:41.023,0.854,1.0,-3.25,138
2023-01-04 09:29:46.000,0.562,1.0,-0.75,19
2023-01-04 09:41:47.282,0.482,1.0,-0.5,29
2023-01-04 09:42:22.107,0.551,1.0,-0.75,6
2023-01-04 09:42:55.372,0.638,1.0,-2.0,33
2023-01-04 09:49:21.258,0.473,1.0,-3.5,498
2023-01-04 09:59:15.095,0.415,1.0,-2.0,46
2023-01-04 10:05:09.281,0.453,1.0,-0.25,13
2023-01-04 10:06:33.008,0.571,1.0,-0.5,15
2023-01-04 10:15:10.010,0.596,1.0,-0.25,8
2023-01-04 10:15:23.092,0.523,-4.0,0.0,162
2023-01-04 10:23:17.260,0.601,1.0,-0.25,4
2023-01-04 10:23:32.054,0.532,1.0,-2.25,242
2023-01-04 10:30:28.178,0.444,1.0,0.0,5
2023-01-04 10:31:43.036,0.537,1.0,-0.5,39
2023-01-04 10:34:00.069,0.45,1.0,-1.25,36
2023-01-04 10:34:40.083,0.699,1.0,-0.5,26
2023-01-04 10:35:08.176,0.55,1.0,-0.25,5
2023-01-04 10:44:55.029,0.722,1.0,-3.75,341
2023-01-04 10:50:37.016,0.513,1.0,-0.75,26
2023-01-04 10:51:09.161,0.456,1.0,-2.75,104
2023-01-04 10:57:22.039,0.669,-4.0,0.0,43
2023-01-04 10:58:14.128,0.46,-4.0,0.0,492
2023-01-04 11:08:07.365,0.488,1.0,0.0,10
2023-01-04 11:08:26.070,0.628,-1.5,0.0,540
2023-01-04 11:25:17.017,0.427,-4.0,0.0,260
2023-01-04 11:41:39.705,0.676,1.0,-0.75,120
2023-01-04 11:43:43.003,0.632,-4.0,0.0,300
2023-01-04 11:50:40.900,0.455,-4.0,0.0,73
2023-01-04 11:53:13.074,0.439,1.0,0.0,10
2023-01-04 11:53:34.149,0.617,1.0,-0.25,20
2023-01-04 11:56:06.120,0.63,-4.0,0.0,146
2023-01-04 12:00:54.086,0.694,-4.0,0.0,66
2023-01-04 12:14:56.145,0.552,1.0,-0.5,36
2023-01-04 12:15:32.078,0.539,1.0,0.0,5
2023-01-04 12:15:37.003,0.457,1.0,0.0,1
2023-01-04 12:34:05.441,0.495,1.0,0.0,36
2023-01-04 12:35:25.277,0.421,1.0,-0.5,52
2023-01-04 12:37:02.118,0.558,1.0,-0.75,10
2023-01-04 12:39:58.358,0.51,-4.0,0.0,457
2023-01-04 12:51:00.062,0.549,-4.0,0.0,299
2023-01-04 12:59:57.148,0.813,4.0,0.0,0
2023-01-04 13:00:11.017,0.678,-4.0,0.0,1
2023-01-04 13:01:58.004,0.619,1.0,-0.25,1
2023-01-04 13:02:10.011,0.548,-4.0,0.0,7
2023-01-04 13:02:58.032,0.706,1.0,-0.5,2
2023-01-04 13:03:11.029,0.499,-4.0,0.0,2
2023-01-04 13:03:39.013,0.448,1.0,0.0,0
2023-01-04 13:04:38.049,0.551,1.0,-1.0,9
2023-01-04 13:06:30.010,0.406,1.0,-2.0,17
2023-01-04 13:07:26.021,0.741,1.0,0.0,1
2023-01-04 13:07:35.135,0.445,1.0,-0.25,3
2023-01-04 13:07:43.156,0.537,-4.0,0.0,22
2023-01-04 13:09:22.033,0.539,1.0,0.0,1
2023-01-04 13:09:35.227,0.485,-4.0,0.0,7
2023-01-04 13:13:05.058,0.863,1.0,0.0,2
2023-01-04 13:13:28.013,0.567,1.0,0.0,3
2023-01-04 13:14:16.070,0.6,1.0,-0.75,8
2023-01-04 13:20:34.065,0.605,1.0,-1.25,31
2023-01-04 13:22:27.001,0.46,-4.0,0.0,11
2023-01-04 13:22:43.075,0.441,1.0,-0.5,10
2023-01-04 13:23:24.002,0.639,-4.0,0.0,16
2023-01-04 13:26:58.287,0.619,-4.0,0.0,61
2023-01-04 13:32:40.001,0.762,1.0,0.0,3
2023-01-04 13:33:02.180,0.488,1.0,0.0,1
2023-01-04 13:33:28.161,0.586,1.0,-1.0,22
2023-01-04 13:34:06.062,0.503,1.0,-0.75,18
2023-01-04 13:37:15.008,0.483,-4.0,0.0,79
2023-01-04 13:43:38.080,0.526,1.0,-1.5,11
2023-01-04 13:43:49.011,0.488,1.0,-3.0,125
2023-01-04 13:46:04.093,0.46,1.0,-0.25,2
2023-01-04 13:47:04.270,0.471,1.0,0.0,2
2023-01-04 13:49:31.250,0.607,-4.0,0.0,49
2023-01-04 13:51:08.054,0.441,1.0,0.0,2
2023-01-04 13:54:30.006,0.437,1.0,-0.5,35
2023-01-04 13:55:27.021,0.423,1.0,-0.25,2
2023-01-04 13:55:41.054,0.45,1.0,-0.5,13
2023-01-04 13:56:11.036,0.42,1.0,0.0,0
2023-01-04 14:01:43.019,0.737,-4.0,0.0,26
2023-01-04 14:05:07.016,0.543,-4.0,0.0,95
2023-01-04 14:07:13.355,0.437,-4.0,0.0,93
2023-01-04 14:11:07.003,0.514,1.0,-1.5,91
2023-01-04 14:12:49.193,0.63,-4.0,0.0,25
2023-01-04 14:13:34.003,0.572,1.0,0.0,5
2023-01-04 14:14:06.346,0.427,1.0,0.0,4
2023-01-04 14:14:39.022,0.514,1.0,-2.0,175
2023-01-04 14:22:38.027,0.43,1.0,-1.25,26
2023-01-04 14:23:28.024,0.447,1.0,-1.0,19
2023-01-04 14:29:53.050,0.499,1.0,-2.5,46
2023-01-04 14:30:45.219,0.412,-4.0,0.0,26
2023-01-04 14:31:38.061,0.454,-4.0,0.0,174
2023-01-04 14:36:00.060,0.624,1.0,-3.5,121
2023-01-04 14:38:02.201,0.42,1.0,-1.25,30
2023-01-04 14:40:10.038,0.494,1.0,-0.5,13
2023-01-04 14:44:21.253,0.469,1.0,-3.0,164
2023-01-04 14:49:28.023,0.429,1.0,0.0,8
2023-01-04 14:50:06.017,0.578,1.0,-2.5,82
2023-01-04 14:51:37.132,0.458,1.0,-2.5,183
2023-01-04 14:54:41.009,0.63,1.0,-0.25,9
2023-01-04 14:54:52.155,0.504,1.0,-1.0,8
2023-01-04 14:59:19.028,0.638,1.0,-0.25,4
2023-01-04 14:59:36.020,0.468,1.0,0.0,1
2023-01-04 15:00:04.007,0.748,1.0,-1.0,12
2023-01-04 15:00:17.018,0.425,-4.0,0.0,84
2023-01-04 15:01:48.083,0.708,1.0,-0.25,12
2023-01-04 15:02:30.088,0.421,1.0,-1.5,44
2023-01-04 15:03:52.182,0.428,1.0,-1.0,142
2023-01-04 15:06:20.490,0.448,-2.0,0.0,540
2023-01-04 15:15:30.612,0.444,1.0,-0.25,154
2023-01-05 08:30:09.077,0.401,1.0,0.0,2
2023-01-05 08:30:12.013,0.756,-4.0,0.0,27
2023-01-05 08:31:47.005,0.901,1.0,-3.5,39
2023-01-05 08:32:53.082,0.606,-4.0,0.0,50
2023-01-05 08:36:51.016,0.553,1.0,-0.25,5
2023-01-05 08:37:07.018,0.435,-4.0,0.0,75
2023-01-05 08:39:14.026,0.703,1.0,-0.75,11
2023-01-05 08:45:33.106,0.587,-4.0,0.0,94
2023-01-05 08:47:13.003,0.486,1.0,-0.25,6
2023-01-05 08:47:38.098,0.661,1.0,-1.5,23
2023-01-05 08:48:30.019,0.694,1.0,-0.75,27
2023-01-05 08:50:12.035,0.534,1.0,-1.0,8
2023-01-05 08:52:55.026,0.469,1.0,-1.25,19
2023-01-05 08:58:23.013,0.647,1.0,-2.0,78
2023-01-05 09:05:03.374,0.417,-4.0,0.0,34
2023-01-05 09:09:08.039,0.434,1.0,0.0,0
2023-01-05 09:12:48.019,0.507,1.0,0.0,2
2023-01-05 09:13:44.050,0.481,-4.0,0.0,132
2023-01-05 09:16:04.212,0.661,-4.0,0.0,108
2023-01-05 09:21:06.259,0.43,1.0,-0.25,5
2023-01-05 09:21:21.338,0.572,1.0,-0.25,13
2023-01-05 09:24:55.199,0.474,1.0,-0.75,9
2023-01-05 09:30:11.106,0.421,1.0,-1.75,22
2023-01-05 09:30:51.059,0.73,1.0,-2.0,21
2023-01-05 09:31:19.057,0.574,-4.0,0.0,49
