,Avg Profits,Avg Net Points,Standard Deviation,Minimum Net Points,Maximum Net Points,Total Window Sum Profits,Total Window Sum Net Points
08:30:00,2886.904761904762,1.1547619047619047,1.8906623762079084,-3.761904761904762,1.0357142857142858,60625.0,24.25
09:00:00,-340.90909090909093,-0.13636363636363635,1.5453451978259187,-2.6363636363636362,1.0,-7500.0,-3.0
09:30:00,7440.476190476191,2.9761904761904763,1.3667062293069558,-2.25,1.0119047619047619,156250.0,62.5
10:00:00,4226.190476190476,1.6904761904761905,1.3792181709015234,-2.2857142857142856,0.8809523809523809,88750.0,35.5
10:30:00,-511.3636363636364,-0.20454545454545456,1.5822104943818187,-2.3636363636363638,1.0,-11250.0,-4.5
11:00:00,3156.25,1.2625,1.2510969741836295,-1.5375,1.0,63125.0,25.25
11:30:00,1398.8095238095239,0.5595238095238095,1.353496103608353,-1.5952380952380953,0.8452380952380952,29375.0,11.75
12:00:00,1845.2380952380952,0.7380952380952381,1.5739616686314,-2.0952380952380953,1.0,38750.0,15.5
12:30:00,1785.7142857142858,0.7142857142857143,0.9509699009638793,-1.0952380952380953,0.7023809523809523,37500.0,15.0
13:00:00,-312.5,-0.125,1.5486436161477128,-2.075,1.0,-6250.0,-2.5
13:30:00,-684.5238095238095,-0.27380952380952384,1.6298106202806881,-2.357142857142857,0.8928571428571429,-14375.0,-5.75
14:00:00,-446.42857142857144,-0.17857142857142858,1.4783593386903662,-2.0714285714285716,1.0,-9375.0,-3.75
14:30:00,2797.6190476190477,1.119047619047619,1.5523756620486033,-2.4047619047619047,1.0,58750.0,23.5
15:00:00,833.3333333333334,0.3333333333333333,1.2109603925545485,-0.7361111111111112,0.8333333333333334,15000.0,6.0
