,Avg Profits,Avg Net Points,Standard Deviation,Minimum Net Points,Maximum Net Points,Total Window Sum Profits,Total Window Sum Net Points
08:30:00,-714.2857142857143,-0.2857142857142857,1.977479548893419,-3.5238095238095237,1.0833333333333333,-15000.0,-6.0
09:00:00,-4732.142857142857,-1.8928571428571428,2.1293545922875583,-3.7023809523809526,1.0595238095238095,-99375.0,-39.75
09:30:00,892.8571428571429,0.35714285714285715,1.9613945576898781,-3.869047619047619,1.0357142857142858,18750.0,7.5
10:00:00,-505.95238095238096,-0.20238095238095238,1.94252083525427,-3.392857142857143,0.6666666666666666,-10625.0,-4.25
10:30:00,-1562.5,-0.625,1.9369829000514063,-3.4375,1.05,-31250.0,-12.5
11:00:00,-3035.714285714286,-1.2142857142857142,1.91081677664489,-3.0952380952380953,0.9761904761904762,-63750.0,-25.5
11:30:00,-2187.5,-0.875,2.0145484126687037,-3.5,0.9,-43750.0,-17.5
12:00:00,3562.5,1.425,1.6272232707847354,-2.5625,1.2375,71250.0,28.5
12:30:00,8125.0,3.25,1.3818197724649615,-2.275,1.0,162500.0,65.0
13:00:00,-3468.75,-1.3875,1.7561128662475831,-2.9125,1.025,-69375.0,-27.75
13:30:00,4250.0,1.7,1.6328601389493098,-2.75,1.05,85000.0,34.0
14:00:00,-3656.25,-1.4625,1.8051664172249917,-3.0125,1.0875,-73125.0,-29.25
14:30:00,-7467.105263157895,-2.986842105263158,2.0954338763120064,-3.736842105263158,1.0263157894736843,-141875.0,-56.75
15:00:00,-694.4444444444445,-0.2777777777777778,1.6971276650973177,-1.7777777777777777,0.9305555555555556,-12500.0,-5.0
