,Avg Profits,Avg Net Points,Standard Deviation,Minimum Net Points,Maximum Net Points,Total Window Sum Profits,Total Window Sum Net Points
08:30:00,3465.909090909091,1.3863636363636365,1.7179655795797286,-3.1136363636363638,1.0454545454545454,76250.0,30.5
09:00:00,2301.1363636363635,0.9204545454545454,1.8940335654722493,-3.5454545454545454,1.0113636363636365,50625.0,20.25
09:30:00,3465.909090909091,1.3863636363636365,1.648068957960813,-2.9886363636363638,1.0113636363636365,76250.0,30.5
10:00:00,1221.590909090909,0.48863636363636365,1.7339946250461522,-2.8636363636363638,1.0113636363636365,26875.0,10.75
10:30:00,-142.04545454545453,-0.056818181818181816,1.7081330655459595,-2.8636363636363638,1.0227272727272727,-3125.0,-1.25
11:00:00,4630.681818181818,1.8522727272727273,1.5028106566615598,-2.6931818181818183,1.0113636363636365,101875.0,40.75
11:30:00,5284.090909090909,2.1136363636363638,1.2626145888842784,-2.1931818181818183,0.7954545454545454,116250.0,46.5
12:00:00,-3214.285714285714,-1.2857142857142858,2.1109305840109323,-3.619047619047619,1.0,-67500.0,-27.0
12:30:00,4125.0,1.65,1.4761466206986553,-2.0875,1.0,82500.0,33.0
13:00:00,1964.2857142857142,0.7857142857142857,1.6445553276923262,-2.8095238095238093,1.0238095238095237,41250.0,16.5
13:30:00,-208.33333333333334,-0.08333333333333333,1.6480235043361642,-2.8095238095238093,1.0,-4375.0,-1.75
14:00:00,4107.142857142857,1.6428571428571428,1.8858332126563244,-3.5238095238095237,1.0595238095238095,86250.0,34.5
14:30:00,1845.2380952380952,0.7380952380952381,1.684447647246357,-3.0595238095238093,1.0357142857142858,38750.0,15.5
15:00:00,1934.5238095238096,0.7738095238095238,1.4289701656316938,-1.8571428571428572,0.8095238095238095,40625.0,16.25
